"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2023","26.331","25.100","27.255","24.050","73.07K","5.92%"
"06/06/2023","24.860","28.600","30.570","24.750","85.25K","-12.70%"
"06/05/2023","28.478","23.950","29.365","23.950","87.29K","20.22%"
"06/02/2023","23.689","22.890","24.120","22.855","46.89K","2.54%"
"06/01/2023","23.103","25.750","25.805","22.935","66.81K","-13.96%"
"05/31/2023","26.852","25.500","28.740","24.565","83.48K","8.80%"
"05/30/2023","24.681","24.350","25.500","23.500","24.97K","0.48%"
"05/29/2023","24.562","25.255","26.015","24.295","8.02K","0.17%"
"05/26/2023","24.520","24.275","25.800","23.700","72.79K","-3.66%"
"05/25/2023","25.452","27.975","28.500","24.940","53.89K","-8.40%"
"05/24/2023","27.785","29.650","29.850","27.350","49.26K","-4.61%"
"05/23/2023","29.127","29.090","30.010","28.775","51.50K","-1.97%"
"05/22/2023","29.711","29.500","30.500","28.795","53.20K","-1.54%"
"05/19/2023","30.176","29.880","30.800","29.800","35.32K","1.31%"
"05/18/2023","29.785","31.750","31.750","29.690","46.88K","-6.78%"
"05/17/2023","31.953","32.000","33.050","31.555","48.15K","0.41%"
"05/16/2023","31.821","32.500","33.200","31.505","49.99K","-1.53%"
"05/15/2023","32.314","33.200","33.795","31.650","49.89K","-1.38%"
"05/12/2023","32.767","34.995","35.055","32.180","53.92K","-6.36%"
"05/11/2023","34.993","34.760","35.250","34.350","38.94K","0.00%"
"05/10/2023","34.993","36.000","36.200","34.500","43.49K","-2.66%"
"05/09/2023","35.950","37.475","37.475","35.730","50.66K","-2.51%"
